u'Date', u'Time\nET', u'Statistic', u'For', u'Actual', u'Briefing Forecast', u'Market Expects', u'Prior', u'Revised\nFrom'
u'Feb 13', u'10:00 AM', u'Business Inventories', u'Dec', u'0.5%', u'0.6%', u'0.4%', u'0.4%', u'-'
u'Feb 13', u'10:30 AM', u'Natural Gas Inventories', u'02/08', u'-237 bcf', u'NA', u'NA', u'-262 bcf', u'-'
u'Feb 14', u'8:30 AM', None, u'Jan', u'0.2%', u'NA', u'NA', u'0.5%', u'0.3%'
u'Feb 14', u'8:30 AM', None, u'Jan', u'0.3%', u'NA', u'NA', u'-0.1%', u'-'
u'Feb 14', u'9:15 AM', u'Industrial Production', u'Jan', u'-0.3%', u'0.6%', u'0.3%', u'0.3%', u'-'
u'Feb 14', u'9:15 AM', u'Capacity Utilization', u'Jan', u'78.5%', u'79.8%', u'79.4%', u'78.9%', u'79.2'
u'Feb 14', u'9:55 AM', u'Mich Sentiment', u'Feb', u'81.2', u'79.5', u'80.2', u'81.2', u'-'
u'Feb 18', u'8:30 AM', u'Empire Manufacturing', u'Feb', u'4.5', u'10.0', u'7.5', u'12.5', u'-'
u'Feb 18', u'9:00 AM', u'Net Long-Term TIC Flows', u'Dec', u'-$45.9B', u'NA', u'NA', u'-$28.0B', u'-$29.3B'
u'Feb 18', u'10:00 AM', u'NAHB Housing Market Index', u'Feb', u'46', u'54', u'56', u'56', u'-'
u'Feb 19', u'7:00 AM', u'MBA Mortgage Index', u'02/15', u'-4.1%', u'NA', u'NA', u'-2.0%', u'-'
u'Feb 19', u'8:30 AM', u'Housing Starts', u'Jan', u'888K', u'925K', u'963K', u'1048K', u'999K'
u'Feb 19', u'8:30 AM', u'Building Permits', u'Jan', u'937K', u'975K', u'980K', u'991K', u'986K'
u'Feb 19', u'8:30 AM', u'PPI', u'Jan', u'0.2%', u'0.3%', u'0.2%', u'0.1%', u'0.4%'
u'Feb 19', u'8:30 AM', None, u'Jan', u'0.2%', u'0.2%', u'0.1%', u'0.2%', u'0.3%'
u'Feb 19', u'2:00 PM', u'FOMC Minutes', u'1/29', u'-', u'-', u'-', u'-', u'-'
u'Feb 20', u'8:30 AM', u'Initial Claims', u'02/15', u'336K', u'335K', u'335K', u'339K', u'-'
u'Feb 20', u'8:30 AM', u'Continuing Claims', u'02/08', u'2981K', u'2975K', u'2973K', u'2944K', u'2953K'
u'Feb 20', u'8:30 AM', u'CPI', u'Jan', u'0.1%', u'0.2%', u'0.2%', u'0.2%', u'0.3%'
u'Feb 20', u'8:30 AM', None, u'Jan', u'0.1%', u'0.2%', u'0.1%', u'0.1%', u'-'
u'Feb 20', u'10:00 AM', u'Philadelphia Fed', u'Feb', u'-6.3', u'8.0', u'7.4', u'9.4', u'-'
u'Feb 20', u'10:00 AM', u'Leading Indicators', u'Jan', u'0.3%', u'0.4%', u'0.4%', u'0.0%', u'0.1%'
u'Feb 20', u'10:30 AM', u'Natural Gas Inventories', u'02/15', u'-250 bcf', u'NA', u'NA', u'-237 bcf', u'-'
u'Feb 20', u'11:00 AM', u'Crude Inventories', u'02/15', u'0.973M', u'NA', u'NA', u'3.267M', u'-'
u'Feb 21', u'10:00 AM', u'Existing Home Sales', u'Jan', u'4.62M', u'4.75M', u'4.70M', u'4.87M', u'-'
u'Feb 25', u'9:00 AM', u'Case-Shiller 20-city Index', u'Dec', u'13.4%', u'12.0%', u'13.6%', u'13.7%', u'-'
u'Feb 25', u'9:00 AM', u'FHFA Housing Price Index', u'Dec', u'0.8%', u'NA', u'NA', u'-0.1%', u'0.1%'
u'Feb 25', u'10:00 AM', u'Consumer Confidence', u'Feb', u'78.1', u'81.0', u'80.8', u'79.4', u'80.7'
u'Feb 26', u'7:00 AM', u'MBA Mortgage Index', u'02/22', u'-8.5%', u'NA', u'NA', u'-4.1%', u'-'
